Delta,Theta,Alpha,Beta,Mean,StdDev,Variance,Kurtosis,Skewness,SEF95,KComplexCount,SpindleCount,SleepStage,Subject,DataType
183.096584015397,22.4026174231389,25.3259830830489,226.59229735185,0.306869069268763,54.7770599591365,3000.52629776683,307.565452748989,8.95534415232552,29.296875,8,7,Wake,S1,EEG_Features
212.928889748624,35.1239746089678,67.6349666912833,400.551228399527,0.184436454271829,23.3222763932205,543.92857616177,4.83637186459982,-0.0283817000586893,28.564453125,7,58,Wake,S1,EEG_Features
60.008930483054,14.2092442100321,12.1855610825781,158.570010824539,-0.670801265655703,29.8334448113141,890.034429309726,144.555809298308,-6.32021812805537,29.1748046875,5,29,Wake,S1,EEG_Features
298.636427458383,36.2651820763859,33.7066225243853,228.099871093623,-0.625063955128703,46.3644375995842,2149.66107392574,279.21463276016,-8.97846028089706,28.564453125,8,15,Wake,S1,EEG_Features
72.1657477199029,19.0888082290375,18.3574247909752,126.806052549676,0.0479775329758678,20.1329551872731,405.335884572747,51.3366478601447,-1.40188565962383,29.4189453125,8,56,Wake,S1,EEG_Features
387.304325331574,36.0594895312112,70.0249637238416,229.873633110513,-0.457969611407551,33.2930669867651,1108.42830938523,48.8899456517226,-2.87114824183646,26.7333984375,5,26,Wake,S1,EEG_Features
155.411763925896,22.0806498677374,12.7305275347905,118.513021417437,-0.741907736032958,36.0144485084045,1297.04050136452,177.239565097071,-6.86504191721898,29.052734375,5,9,Wake,S1,EEG_Features
147.900345521876,18.8698471863834,17.3536574714745,147.461740437567,-0.405444378159051,39.2702939720329,1542.15598864988,231.267345561975,-7.51213267572674,28.80859375,7,5,Wake,S1,EEG_Features
120.203477029172,19.5759356826782,13.2712666487034,177.730385004826,-0.307094242779395,21.9855029741746,483.362341027441,92.8425642665545,-4.02951265139987,29.296875,5,30,Wake,S1,EEG_Features
49.1340870873596,11.5766234472984,14.4228997559961,105.152842925242,0.582644826427868,35.1140558996678,1232.996921725,321.761666475345,10.4817038433848,29.78515625,5,12,Wake,S1,EEG_Features
80.5440201777027,17.1631472107413,22.7984070607389,130.726108534799,-0.627410814554657,40.4111090630686,1633.05773570723,335.788651273282,-10.4276496121266,29.1748046875,4,6,Wake,S1,EEG_Features
88.1114857723576,15.7616901265978,10.0742172759776,116.306238191825,0.159961887642542,22.2775468762245,496.28909482238,134.423722341435,4.90021828516338,29.296875,4,44,Wake,S1,EEG_Features
93.2227339456994,14.2101257405936,13.0299044816361,155.955949743939,-0.0362463051758802,15.0411926454885,226.237476198697,5.62589475254835,-0.350373731119112,29.1748046875,2,77,Wake,S1,EEG_Features
84.7487873554888,30.3564828443131,102.464538214922,371.110016450299,0.309503667158683,32.6051624364982,1063.09661751043,129.508236463269,4.74787991024384,29.4189453125,7,40,Wake,S1,EEG_Features
67.088231701525,10.8980404292955,12.5744227319912,128.165229843884,0.347794969914138,18.5347118289663,343.535542582822,14.5326767857136,0.723650714616812,28.9306640625,6,76,Wake,S1,EEG_Features
111.0963314591,16.9121524042783,14.2787409319761,191.695641578892,-0.0709881417480771,21.0246843471033,442.037351895332,10.1302068301644,-0.274061136765276,29.1748046875,7,69,Wake,S1,EEG_Features
115.34249520996,13.3977814395555,9.09047535867395,211.563248826196,0.118612867295778,23.5552264664012,554.84869388345,68.4974144150943,2.09483930807287,29.4189453125,4,50,Wake,S1,EEG_Features
102.844462849563,13.2159885332868,18.6162829385876,160.271081588394,0.356220390847301,32.8497929814599,1079.10889892477,164.100036187737,5.70415619996313,29.052734375,4,27,Wake,S1,EEG_Features
155.120211492884,22.2936636176332,39.0787738432477,256.782158119184,-0.0541864818641569,41.9310418169711,1758.21226785658,152.664493645762,-3.36061703707302,29.296875,8,10,Wake,S1,EEG_Features
135.007318687231,19.8732766595661,22.3850331138728,162.307434009568,0.135349295633099,29.064424494429,844.740771192363,69.6351875683689,3.01817207924433,29.4189453125,7,36,Wake,S1,EEG_Features
334.900185978707,28.5498486493431,35.0342688619633,266.41676673275,-0.0347426958087727,48.8791073206064,2389.16713245936,197.52544849651,-5.5204969043846,29.296875,7,9,Wake,S1,EEG_Features
